utterance_id,session,dialog_id,speaker,dialog_type,emotion_raw,emotion_full,valence,arousal,dominance,transcript,text_length,wav_path,audio_duration,audio_sr,has_audio,has_text,start_time,end_time,annotation_duration,emotion_4cls,emotion_6cls
Ses01F_impro01_F000,Session1,Ses01F_impro01,F,improvised,neu,Neutral,2.5,2.5,2.5,Excuse me.,2,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav,1.9455625,16000,True,True,6.2901,8.2357,1.9455999999999998,Neutral,Neutral
Ses01F_impro01_F001,Session1,Ses01F_impro01,F,improvised,neu,Neutral,2.5,2.5,2.5,Yeah.,1,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav,1.3824375,16000,True,True,10.01,11.3925,1.3825000000000003,Neutral,Neutral
Ses01F_impro01_F002,Session1,Ses01F_impro01,F,improvised,neu,Neutral,2.5,2.5,2.5,Is there a problem?,4,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav,3.13025,16000,True,True,14.8872,18.0175,3.1302999999999983,Neutral,Neutral
Ses01F_impro01_F003,Session1,Ses01F_impro01,F,improvised,xxx,No Agreement,2.5,3.0,3.0,You did.,2,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F003.wav,1.4975,16000,True,True,19.29,20.7875,1.4975000000000023,,
Ses01F_impro01_F004,Session1,Ses01F_impro01,F,improvised,xxx,No Agreement,2.5,3.0,2.5,You were standing at the beginning and you directed me.,10,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F004.wav,3.41425,16000,True,True,21.3257,24.74,3.4142999999999972,,
Ses01F_impro01_F005,Session1,Ses01F_impro01,F,improvised,neu,Neutral,2.5,3.5,2.0,Well what's the problem?  Let me change it.,8,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav,4.0299375,16000,True,True,27.46,31.49,4.029999999999998,Neutral,Neutral
Ses01F_impro01_F006,Session1,Ses01F_impro01,F,improvised,fru,Frustrated,2.0,3.5,3.5,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,14,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F006.wav,4.625,16000,True,True,38.965,43.59,4.625,,Frustrated
Ses01F_impro01_F007,Session1,Ses01F_impro01,F,improvised,fru,Frustrated,2.5,3.5,3.5,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,22,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F007.wav,5.61,16000,True,True,46.58,52.19,5.609999999999999,,Frustrated
Ses01F_impro01_F008,Session1,Ses01F_impro01,F,improvised,fru,Frustrated,2.0,3.5,3.5,I'm here to get an ID.,6,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F008.wav,2.6625,16000,True,True,56.16,58.8225,2.6625000000000014,,Frustrated
Ses01F_impro01_F009,Session1,Ses01F_impro01,F,improvised,fru,Frustrated,2.0,3.5,3.0,Like what?  Like a birth certificate?,6,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F009.wav,4.1,16000,True,True,61.87,65.97,4.100000000000001,,Frustrated
Ses01F_impro01_F010,Session1,Ses01F_impro01,F,improvised,xxx,No Agreement,1.5,3.5,3.5,Who the hell has a birth certificate?,7,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F010.wav,2.92,16000,True,True,66.42,69.34,2.9200000000000017,,
Ses01F_impro01_F011,Session1,Ses01F_impro01,F,improvised,fru,Frustrated,2.0,3.5,3.5,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",28,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F011.wav,9.81,16000,True,True,72.45,82.26,9.810000000000002,,Frustrated
Ses01F_impro01_F012,Session1,Ses01F_impro01,F,improvised,ang,Angry,2.0,3.5,3.5,That's out of control.,4,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F012.wav,2.75,16000,True,True,85.27,88.02,2.75,Angry,Angry
Ses01F_impro01_F013,Session1,Ses01F_impro01,F,improvised,fru,Frustrated,2.0,4.0,3.5,How long have you been working here?,7,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F013.wav,3.3518125,16000,True,True,93.67,97.0218,3.3517999999999972,,Frustrated
Ses01F_impro01_F014,Session1,Ses01F_impro01,F,improvised,neu,Neutral,2.5,3.5,3.5,"Clearly.  You know, do you have like a supervisor or something?",11,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F014.wav,5.07,16000,True,True,97.89,102.96,5.069999999999993,Neutral,Neutral
Ses01F_impro01_F015,Session1,Ses01F_impro01,F,improvised,fru,Frustrated,2.0,3.5,3.0,That would - I would appreciate that.  Yeah.,8,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F015.wav,2.74,16000,True,True,103.97,106.71,2.739999999999995,,Frustrated
Ses01F_impro01_M000,Session1,Ses01F_impro01,M,improvised,fru,Frustrated,2.5,2.0,2.5,Do you have your forms?,5,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M000.wav,2.90375,16000,True,True,7.5712,10.475,2.9037999999999995,,Frustrated
Ses01F_impro01_M001,Session1,Ses01F_impro01,M,improvised,fru,Frustrated,2.5,2.0,2.5,Let me see them.,4,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M001.wav,3.7383125,16000,True,True,10.9266,14.6649,3.738299999999999,,Frustrated
Ses01F_impro01_M002,Session1,Ses01F_impro01,M,improvised,fru,Frustrated,2.0,3.5,3.5,Who told you to get in this line?,8,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M002.wav,2.88225,16000,True,True,16.8352,19.7175,2.8823000000000008,,Frustrated
Ses01F_impro01_M003,Session1,Ses01F_impro01,M,improvised,fru,Frustrated,2.5,3.5,3.5,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,19,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M003.wav,4.56,16000,True,True,23.47,28.03,4.560000000000002,,Frustrated
Ses01F_impro01_M004,Session1,Ses01F_impro01,M,improvised,fru,Frustrated,2.0,4.0,3.5,This form is a Z.X.four.,5,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M004.wav,2.816625,16000,True,True,28.395,31.2117,2.816700000000001,,Frustrated
Ses01F_impro01_M005,Session1,Ses01F_impro01,M,improvised,fru,Frustrated,2.0,3.5,3.5,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",26,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M005.wav,8.1215,16000,True,True,31.266,39.3875,8.121500000000005,,Frustrated
Ses01F_impro01_M006,Session1,Ses01F_impro01,M,improvised,fru,Frustrated,2.0,3.5,3.5,No. I need another set of ID to prove this is actually you.,13,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M006.wav,5.75,16000,True,True,41.23,46.98,5.75,,Frustrated
Ses01F_impro01_M007,Session1,Ses01F_impro01,M,improvised,fru,Frustrated,2.5,3.5,3.0,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,22,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M007.wav,6.2399375,16000,True,True,51.4,57.64,6.240000000000002,,Frustrated
Ses01F_impro01_M008,Session1,Ses01F_impro01,M,improvised,fru,Frustrated,2.0,3.5,3.5,"No.  I need another ID, a separate one.",8,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M008.wav,4.4099375,16000,True,True,58.18,62.59,4.410000000000004,,Frustrated
Ses01F_impro01_M009,Session1,Ses01F_impro01,M,improvised,fru,Frustrated,2.5,3.5,4.0,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",13,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M009.wav,7.49,16000,True,True,65.51,73.0,7.489999999999995,,Frustrated
Ses01F_impro01_M010,Session1,Ses01F_impro01,M,improvised,fru,Frustrated,2.0,4.5,4.0,"Yeah.  We keep it on file, but we need an ID to access that file.",15,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M010.wav,4.4399375,16000,True,True,81.59,86.03,4.439999999999998,,Frustrated
Ses01F_impro01_M011,Session1,Ses01F_impro01,M,improvised,ang,Angry,2.0,4.0,4.0,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,24,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M011.wav,7.2399375,16000,True,True,87.15,94.39,7.239999999999995,Angry,Angry
Ses01F_impro01_M012,Session1,Ses01F_impro01,M,improvised,xxx,No Agreement,3.0,1.5,2.0,Actually too long.,3,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M012.wav,2.8199375,16000,True,True,95.86,98.68,2.8200000000000074,,
Ses01F_impro01_M013,Session1,Ses01F_impro01,M,improvised,ang,Angry,2.0,4.5,4.5,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,22,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M013.wav,6.0299375,16000,True,True,101.84,107.87,6.030000000000001,Angry,Angry
Ses01F_impro02_F000,Session1,Ses01F_impro02,F,improvised,sad,Sad,2.5,2.0,1.5,Did you get the mail? So you saw my letter?,10,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F000.wav,9.3311875,16000,True,True,7.2688,16.6,9.331200000000003,Sad,Sad
Ses01F_impro02_F001,Session1,Ses01F_impro02,F,improvised,sad,Sad,2.0,1.5,1.5,Yeah.  I know.,3,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F001.wav,2.93,16000,True,True,19.85,22.78,2.9299999999999997,Sad,Sad
Ses01F_impro02_F002,Session1,Ses01F_impro02,F,improvised,sad,Sad,2.0,1.5,1.5,I don't know.  I put in that. request too. They didn't...,11,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F002.wav,5.7235,16000,True,True,26.5659,32.2895,5.723599999999998,Sad,Sad
Ses01F_impro02_F003,Session1,Ses01F_impro02,F,improvised,neu,Neutral,2.0,2.0,2.0,"I guess, you know, everybody has to make sacrifices.",9,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F003.wav,5.6525,16000,True,True,32.3075,37.96,5.652500000000003,Neutral,Neutral
Ses01F_impro02_F004,Session1,Ses01F_impro02,F,improvised,sad,Sad,2.5,2.0,2.5,"There's people that have given more though, you know?",9,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F004.wav,5.7699375,16000,True,True,47.34,53.11,5.769999999999996,Sad,Sad
Ses01F_impro02_F005,Session1,Ses01F_impro02,F,improvised,sad,Sad,2.0,2.0,2.5,I know.,2,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F005.wav,2.56,16000,True,True,58.75,61.31,2.5600000000000023,Sad,Sad
Ses01F_impro02_F006,Session1,Ses01F_impro02,F,improvised,neu,Neutral,2.5,2.5,2.5,"There's babies over there, though, that need mothers.",8,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F006.wav,4.215,16000,True,True,64.255,68.47,4.215000000000003,Neutral,Neutral
Ses01F_impro02_F007,Session1,Ses01F_impro02,F,improvised,xxx,No Agreement,2.0,3.5,3.0,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",26,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F007.wav,6.18,16000,True,True,72.39,78.57,6.179999999999993,,
Ses01F_impro02_F008,Session1,Ses01F_impro02,F,improvised,sad,Sad,1.5,2.0,1.5,"Just, you know, kicking myself.",5,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F008.wav,3.8868125,16000,True,True,87.2031,91.09,3.886899999999997,Sad,Sad
Ses01F_impro02_F009,Session1,Ses01F_impro02,F,improvised,xxx,No Agreement,1.5,1.5,2.0,like you sign up because you need money and,9,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F009.wav,4.33,16000,True,True,91.55,95.88,4.329999999999998,,
Ses01F_impro02_F010,Session1,Ses01F_impro02,F,improvised,sad,Sad,2.0,1.5,2.0,things just aren't what they seem.,6,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F010.wav,4.25,16000,True,True,97.94,102.19,4.25,Sad,Sad
Ses01F_impro02_F011,Session1,Ses01F_impro02,F,improvised,xxx,No Agreement,2.5,2.5,2.5,"We're doing the right thing, though.",6,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F011.wav,3.33525,16000,True,True,107.68,111.0153,3.3352999999999895,,
Ses01F_impro02_F012,Session1,Ses01F_impro02,F,improvised,sad,Sad,3.5,2.0,1.5,"If not me then, who?",5,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F012.wav,3.0305,16000,True,True,117.83,120.8605,3.0305000000000035,Sad,Sad
Ses01F_impro02_F013,Session1,Ses01F_impro02,F,improvised,sad,Sad,1.5,2.0,2.0,"You'll videotape everything, yeah?",4,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F013.wav,6.1254375,16000,True,True,127.82,133.9455,6.125500000000017,Sad,Sad
Ses01F_impro02_F014,Session1,Ses01F_impro02,F,improvised,sad,Sad,1.5,2.0,2.0,"Maybe you can send it to me, like stream it, yeah?",11,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F014.wav,7.4,16000,True,True,139.03,146.43,7.400000000000006,Sad,Sad
Ses01F_impro02_F015,Session1,Ses01F_impro02,F,improvised,sad,Sad,2.0,2.5,2.5,Last month--  Yeah.,3,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F015.wav,3.587875,16000,True,True,151.4221,155.01,3.5878999999999905,Sad,Sad
Ses01F_impro02_F016,Session1,Ses01F_impro02,F,improvised,neu,Neutral,2.0,1.0,2.5,I have to find sitters.,5,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F016.wav,2.1899375,16000,True,True,163.54,165.73,2.1899999999999977,Neutral,Neutral
Ses01F_impro02_F017,Session1,Ses01F_impro02,F,improvised,sad,Sad,3.5,3.0,2.5,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",18,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F017.wav,6.6549375,16000,True,True,169.36,176.015,6.654999999999973,Sad,Sad
Ses01F_impro02_F018,Session1,Ses01F_impro02,F,improvised,neu,Neutral,2.5,2.5,2.5,And your mother is close by.,6,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F018.wav,3.05,16000,True,True,176.08,179.13,3.049999999999983,Neutral,Neutral
Ses01F_impro02_F019,Session1,Ses01F_impro02,F,improvised,sad,Sad,2.5,1.5,2.0,I'll send you lots of letters.,6,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F019.wav,3.059375,16000,True,True,182.83,185.8894,3.0593999999999824,Sad,Sad
Ses01F_impro02_F020,Session1,Ses01F_impro02,F,improvised,sad,Sad,4.0,2.0,2.5,And I want lots and lots and lots of pictures.,10,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F020.wav,4.5299375,16000,True,True,186.58,191.11,4.530000000000001,Sad,Sad
Ses01F_impro02_M000,Session1,Ses01F_impro02,M,improvised,xxx,No Agreement,2.0,2.5,2.5,It's not fair.,3,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M000.wav,3.026375,16000,True,True,17.6,20.6264,3.026399999999999,,
Ses01F_impro02_M001,Session1,Ses01F_impro02,M,improvised,sad,Sad,2.0,2.5,2.5,"I don't understand.  You've already done so much, I don't know why do you have to go back.",18,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M001.wav,5.7958125,16000,True,True,21.76,27.5558,5.7958,Sad,Sad
Ses01F_impro02_M002,Session1,Ses01F_impro02,M,improvised,xxx,No Agreement,2.5,3.0,2.5,"I don't know, it's just not fair.  I think you've already made your sacrifice.",14,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M002.wav,6.2399375,16000,True,True,38.85,45.09,6.240000000000002,,
Ses01F_impro02_M003,Session1,Ses01F_impro02,M,improvised,fru,Frustrated,2.0,3.0,3.0,I just don't see how they can make you leave when you have a new baby - we have a new kid.,22,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M003.wav,6.3433125,16000,True,True,52.71,59.0534,6.343400000000003,,Frustrated
Ses01F_impro02_M004,Session1,Ses01F_impro02,M,improvised,xxx,No Agreement,2.0,3.0,2.0,Then why is that fair?  Why--,6,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M004.wav,3.305,16000,True,True,61.75,65.055,3.305000000000007,,
Ses01F_impro02_M005,Session1,Ses01F_impro02,M,improvised,sad,Sad,2.0,3.0,1.5,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,20,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M005.wav,4.9499375,16000,True,True,69.34,74.29,4.950000000000003,Sad,Sad
Ses01F_impro02_M006,Session1,Ses01F_impro02,M,improvised,xxx,No Agreement,2.0,3.0,1.5,I'm just trying to think of another way.  I'm just trying to...,12,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M006.wav,6.9599375,16000,True,True,80.03,86.99,6.959999999999994,,
Ses01F_impro02_M007,Session1,Ses01F_impro02,M,improvised,xxx,No Agreement,2.0,3.0,2.5,This is a stupid war.,5,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M007.wav,3.8299375,16000,True,True,103.27,107.1,3.8299999999999983,,
Ses01F_impro02_M008,Session1,Ses01F_impro02,M,improvised,fru,Frustrated,2.5,1.5,2.0,I know.,2,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M008.wav,2.634625,16000,True,True,110.5653,113.2,2.6347000000000094,,Frustrated
Ses01F_impro02_M009,Session1,Ses01F_impro02,M,improvised,sad,Sad,2.0,1.5,2.5,I just don't see why it has to be you.,10,/data/Brian/Dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M009.wav,3.6725,16000,True,True,114.1775,117.85,3.6724999999999994,Sad,Sad
